date,series_name,value,source_slug,source_url
2008-08-01,US - S&amp;P 500 - Forward PE Ratio,31.674,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-08-04,US - S&amp;P 500 - Forward PE Ratio,31.39,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-08-05,US - S&amp;P 500 - Forward PE Ratio,32.2915,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-08-06,US - S&amp;P 500 - Forward PE Ratio,32.3998,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-08-07,US - S&amp;P 500 - Forward PE Ratio,31.8188,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-08-08,US - S&amp;P 500 - Forward PE Ratio,32.579,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-08-11,US - S&amp;P 500 - Forward PE Ratio,32.8052,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-08-12,US - S&amp;P 500 - Forward PE Ratio,32.4099,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-08-13,US - S&amp;P 500 - Forward PE Ratio,32.3154,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-08-14,US - S&amp;P 500 - Forward PE Ratio,32.4938,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-08-15,US - S&amp;P 500 - Forward PE Ratio,32.6263,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-08-18,US - S&amp;P 500 - Forward PE Ratio,32.1337,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-08-19,US - S&amp;P 500 - Forward PE Ratio,31.8344,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-08-20,US - S&amp;P 500 - Forward PE Ratio,32.0317,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-08-21,US - S&amp;P 500 - Forward PE Ratio,32.1116,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-08-22,US - S&amp;P 500 - Forward PE Ratio,32.4755,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-08-25,US - S&amp;P 500 - Forward PE Ratio,31.8382,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-08-26,US - S&amp;P 500 - Forward PE Ratio,31.9555,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-08-27,US - S&amp;P 500 - Forward PE Ratio,32.2106,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-08-28,US - S&amp;P 500 - Forward PE Ratio,32.6886,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-08-29,US - S&amp;P 500 - Forward PE Ratio,32.24,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-09-02,US - S&amp;P 500 - Forward PE Ratio,32.1081,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-09-03,US - S&amp;P 500 - Forward PE Ratio,32.0427,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-09-04,US - S&amp;P 500 - Forward PE Ratio,31.0839,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-09-05,US - S&amp;P 500 - Forward PE Ratio,31.2217,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
