＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション、商品先物、商品先物オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 前取引日に取引最終日を迎えた銘柄につきましては掲載されておりません。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
161100015,FUT_NVI_261013,,202610,,35.25,,37.28,,,124,日経平均VI
161110015,FUT_NVI_261110,,202611,,34.85,,37.28,,,152,日経平均VI
161120015,FUT_NVI_261208,,202612,,34.65,,37.28,,,180,日経平均VI
162010015,FUT_NVI_270112,,202701,,34.35,,37.28,,,215,日経平均VI
162020015,FUT_NVI_270209,,202702,,33.9,,37.28,,,243,日経平均VI
1610600C0,FUT_UDJY_260615,,202606,,160.31,,,,,4,米ドル/日本円
1610900C0,FUT_UDJY_260914,,202609,,159.18,,,,,95,米ドル/日本円
1611200C0,FUT_UDJY_261214,,202612,,158.22,,,,,186,米ドル/日本円
1620300C0,FUT_UDJY_270315,,202703,,157.03,,,,,277,米ドル/日本円
1620600C0,FUT_UDJY_270614,,202706,,155.88,,,,,368,米ドル/日本円
1610600C1,FUT_CHJY_260615,,202606,,23.705,,,,,4,中国オフショア人民元/日本円
1610900C1,FUT_CHJY_260914,,202609,,23.68,,,,,95,中国オフショア人民元/日本円
1611200C1,FUT_CHJY_261214,,202612,,23.646,,,,,186,中国オフショア人民元/日本円
1620300C1,FUT_CHJY_270315,,202703,,23.622,,,,,277,中国オフショア人民元/日本円
1620600C1,FUT_CHJY_270614,,202706,,23.609,,,,,368,中国オフショア人民元/日本円
1610600C2,FUT_ERJY_260615,,202606,,185.46,,,,,4,ユーロ/日本円
1610900C2,FUT_ERJY_260914,,202609,,184.83,,,,,95,ユーロ/日本円
1611200C2,FUT_ERJY_261214,,202612,,183.95,,,,,186,ユーロ/日本円
1620300C2,FUT_ERJY_270315,,202703,,183.19,,,,,277,ユーロ/日本円
1620600C2,FUT_ERJY_270614,,202706,,182.46,,,,,368,ユーロ/日本円
191310018,CAL_225_260709_20000,CAL,202607,20000,45995,45990,66020.04,130.5627,1.0998,28,日経225
141312018,CAL_225_260709_22000,CAL,202607,22000,44000,44000,66020.04,139.505,1.0998,28,日経225
141314018,CAL_225_260709_24000,CAL,202607,24000,42000,42000,66020.04,126.5736,1.0998,28,日経225
141075018,CAL_225_260709_25000,CAL,202607,25000,41000,40997,66020.04,114.3356,1.0998,28,日経225
141076018,CAL_225_260709_26000,CAL,202607,26000,40005,40005,66020.04,120.991,1.0998,28,日経225
141077018,CAL_225_260709_27000,CAL,202607,27000,39005,39005,66020.04,115.4474,1.0998,28,日経225
141078018,CAL_225_260709_28000,CAL,202607,28000,38005,38002,66020.04,105.6471,1.0998,28,日経225
141079018,CAL_225_260709_29000,CAL,202607,29000,37010,37010,66020.04,109.6979,1.0998,28,日経225
141070018,CAL_225_260709_30000,CAL,202607,30000,36010,36010,66020.04,104.756,1.0998,28,日経225
141071018,CAL_225_260709_31000,CAL,202607,31000,35010,35007,66020.04,97.6616,1.0998,28,日経225
141072018,CAL_225_260709_32000,CAL,202607,32000,34015,34015,66020.04,99.0308,1.0998,28,日経225
141073018,CAL_225_260709_33000,CAL,202607,33000,33020,33020,66020.04,97.4899,1.0998,28,日経225
141074018,CAL_225_260709_34000,CAL,202607,34000,32020,32017,66020.04,91.2749,1.0998,28,日経225
191075018,CAL_225_260709_35000,CAL,202607,35000,31025,31025,66020.04,91.338,1.0998,28,日経225
141075518,CAL_225_260709_35500,CAL,202607,35500,30530,30530,66020.04,91.3152,1.0998,28,日経225
141075718,CAL_225_260709_35750,CAL,202607,35750,30280,30280,66020.04,90.2845,1.0998,28,日経225
