date,total_pcr,index_pcr,etp_pcr,equity_pcr,vix_pcr,spx_pcr
09/25/2023,1.09,1.19,1.34,0.71,0.28,1.55
09/26/2023,1.14,1.17,1.30,0.88,0.67,1.40
09/27/2023,1.29,1.20,1.86,0.94,0.65,1.37
09/28/2023,1.00,1.03,1.14,0.80,0.38,1.35
09/29/2023,1.04,1.26,0.98,0.73,0.91,1.35
10/02/2023,1.09,1.24,1.15,0.76,0.69,1.36
10/03/2023,1.13,1.25,1.16,0.80,0.76,1.49
10/04/2023,1.59,1.39,2.36,1.11,1.14,1.44
10/05/2023,1.30,1.43,1.50,0.86,1.56,1.36
10/06/2023,0.96,1.11,0.98,0.68,0.52,1.23
10/09/2023,1.08,1.25,1.23,0.66,0.85,1.35
10/10/2023,0.97,1.09,1.09,0.63,0.45,1.35
10/11/2023,1.26,1.17,1.70,1.04,0.53,1.35
10/12/2023,1.11,1.14,1.43,0.80,0.86,1.21
10/13/2023,1.06,1.15,1.30,0.70,0.58,1.69
10/16/2023,1.05,1.10,1.36,0.70,0.46,1.40
10/17/2023,1.05,1.02,1.43,0.80,0.40,1.30
10/18/2023,1.02,1.20,1.01,0.68,0.49,1.53
10/19/2023,1.05,1.29,0.94,0.78,0.69,1.38
10/20/2023,1.04,1.20,1.10,0.76,0.87,1.27
10/23/2023,0.89,1.02,1.14,0.52,0.25,1.39
10/24/2023,0.91,1.15,1.02,0.55,0.45,1.29
10/25/2023,1.26,1.24,1.84,0.90,0.73,1.38
10/26/2023,1.12,1.22,1.37,0.77,0.58,1.35
10/27/2023,1.17,1.27,1.43,0.82,0.53,1.55
10/30/2023,1.09,1.13,1.55,0.68,0.28,1.38
10/31/2023,1.09,1.08,1.39,0.82,0.44,1.33
11/01/2023,0.99,1.20,0.88,0.70,0.48,1.36
11/02/2023,1.00,1.16,0.94,0.77,0.82,1.20
11/03/2023,0.91,1.11,1.02,0.54,0.74,1.17
11/06/2023,1.09,1.27,1.10,0.77,0.79,1.42
11/07/2023,0.98,1.13,1.08,0.65,0.88,1.20
11/08/2023,1.18,1.07,1.46,1.18,0.44,1.21
11/09/2023,1.13,1.28,1.20,0.86,0.88,1.36
11/10/2023,1.12,1.20,1.06,1.03,0.93,1.24
11/13/2023,1.13,1.22,1.30,0.88,0.79,1.35
11/14/2023,0.98,1.12,0.96,0.74,1.04,1.13
11/15/2023,0.81,0.94,1.04,0.48,0.27,1.38
11/16/2023,0.91,1.18,0.81,0.64,0.38,1.39
11/17/2023,0.86,1.04,1.13,0.54,0.41,1.46
11/20/2023,0.95,1.19,1.15,0.53,0.57,1.32
11/21/2023,1.07,1.02,1.12,1.10,0.34,1.32
11/22/2023,0.94,1.01,1.11,0.78,0.35,1.22
11/24/2023,1.11,1.30,1.10,0.91,0.46,1.63
11/27/2023,1.12,1.26,1.19,0.87,0.57,1.45
11/28/2023,0.98,1.10,1.00,0.79,0.46,1.31
11/29/2023,0.81,0.99,0.78,0.55,0.36,1.24
11/30/2023,0.89,0.98,1.13,0.60,0.30,1.23
12/01/2023,0.84,0.99,1.13,0.51,0.30,1.20
12/04/2023,0.82,1.04,0.94,0.53,0.21,1.25
12/05/2023,0.91,1.10,0.99,0.57,0.33,1.26
12/06/2023,0.89,1.02,1.11,0.59,0.37,1.22
12/07/2023,0.93,1.17,1.00,0.59,0.50,1.32
12/08/2023,0.89,1.16,0.90,0.56,0.61,1.25
12/11/2023,0.92,1.10,1.11,0.53,0.37,1.44
12/12/2023,0.99,1.27,0.86,0.58,0.81,1.49
12/13/2023,1.01,0.94,0.95,1.16,0.44,1.14
12/14/2023,0.81,1.09,0.73,0.55,0.37,1.28
12/15/2023,0.77,1.01,0.73,0.53,0.22,1.48
12/18/2023,0.96,1.31,1.03,0.57,0.45,1.43
12/19/2023,0.88,1.03,0.96,0.61,0.33,1.23
12/20/2023,0.93,1.05,1.01,0.59,0.35,1.55
12/21/2023,0.94,1.09,1.10,0.58,0.41,1.30
12/22/2023,0.87,1.17,0.97,0.50,0.51,1.31
12/26/2023,0.92,1.27,1.07,0.56,0.35,1.40
12/27/2023,1.08,1.12,1.20,0.96,0.27,1.32
12/28/2023,0.89,1.06,0.97,0.66,0.20,1.24
12/29/2023,0.93,1.21,0.88,0.65,0.48,1.33
01/02/2024,0.94,1.07,1.10,0.65,0.27,1.36
01/03/2024,1.05,1.20,1.22,0.69,0.38,1.37
01/04/2024,0.95,1.10,1.03,0.69,0.53,1.22
01/05/2024,1.18,1.30,1.78,0.70,0.83,1.38
01/08/2024,0.84,0.90,1.08,0.59,0.29,1.23
01/09/2024,0.93,1.09,1.04,0.61,0.46,1.29
01/10/2024,1.28,0.98,1.73,1.55,0.45,1.19
01/11/2024,1.04,1.14,1.13,0.80,0.51,1.25
01/12/2024,0.88,0.81,1.22,0.83,0.19,1.34
01/16/2024,1.01,1.05,1.17,0.84,0.40,1.40
01/17/2024,1.01,1.11,1.19,0.69,0.45,1.42
01/18/2024,0.91,1.17,0.81,0.69,0.50,1.28
01/19/2024,0.88,1.14,0.90,0.59,0.37,1.27
01/22/2024,0.82,1.01,0.99,0.49,0.20,1.34
01/23/2024,0.91,0.90,1.45,0.57,0.42,1.23
01/24/2024,0.97,1.22,0.92,0.67,0.54,1.31
01/25/2024,0.94,1.19,1.02,0.67,0.50,1.30
01/26/2024,0.91,1.08,0.99,0.66,0.21,1.34
01/29/2024,0.94,1.23,1.08,0.57,0.57,1.34
01/30/2024,0.91,1.18,0.84,0.66,0.41,1.44
01/31/2024,0.92,1.11,0.94,0.64,0.62,1.27
02/01/2024,1.00,1.17,1.23,0.64,0.55,1.31
02/02/2024,1.04,1.26,1.39,0.62,0.90,1.30
02/05/2024,0.93,1.09,0.98,0.65,0.37,1.30
02/06/2024,0.82,0.88,0.82,0.73,0.29,1.26
02/07/2024,0.98,1.06,1.34,0.70,0.39,1.35
02/08/2024,0.84,1.01,0.97,0.62,0.49,1.23
02/09/2024,0.82,1.07,0.99,0.48,0.37,1.45
02/12/2024,1.00,1.09,1.65,0.55,0.38,1.35
02/13/2024,0.89,0.89,1.21,0.65,0.28,1.51
02/14/2024,0.96,1.13,1.23,0.57,0.41,1.57
02/15/2024,0.85,0.95,1.14,0.54,0.18,1.29
02/16/2024,0.93,1.34,1.07,0.53,0.36,1.49
02/20/2024,0.93,1.15,1.08,0.55,0.44,1.35
02/21/2024,1.09,1.37,1.10,0.72,0.99,1.45
02/22/2024,0.94,1.08,1.08,0.66,0.38,1.26
02/23/2024,0.96,1.25,0.98,0.66,0.66,1.34
02/26/2024,1.00,1.18,1.26,0.70,0.50,1.38
02/27/2024,0.97,1.24,1.11,0.61,0.68,1.39
02/28/2024,0.87,1.20,1.07,0.48,0.52,1.37
02/29/2024,0.93,1.19,0.92,0.64,0.47,1.28
03/01/2024,0.97,1.13,1.32,0.60,0.38,1.32
03/04/2024,0.86,1.14,0.81,0.64,0.34,1.48
03/05/2024,1.04,1.21,1.11,0.70,0.80,1.32
03/06/2024,1.06,1.18,1.22,0.83,0.36,1.29
