Database:Monthly
Month:2024-
Indicators,Feb. 2026,Jan. 2026,Dec. 2025,Nov. 2025,Oct. 2025,Sep. 2025,Aug. 2025,Jul. 2025,Jun 2025,May 2025,Apr 2025,Mar 2025,Feb 2025,Jan 2025,Dec 2024,Nov 2024,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024
Inventories of Printing Reproduction of Recording Media Accumulated Growth Rate(%),,,-0.2,2.3,1.7,2.0,2.7,3.0,1.9,3.8,3.2,4.3,4.1,,3.4,1.0,1.6,2.4,2.5,2.0,3.6,2.4,2.5,1.3,-0.1,
Inventories of Manufacture of Articles for Culture Education Art Sport and Entertainment Activities month-end(100 million yuan),,,2425.00,2386.30,2352.30,2358.80,2365.80,2355.70,2349.80,2348.80,2317.90,2273.60,2228.60,,2401.80,2351.90,2343.10,2320.30,2314.50,2295.70,2282.10,2325.20,2329.70,2327.00,2226.20,
Inventories of Manufacture of Articles for Culture Education Art Sport and Entertainment Activities The Same Period of Previous Year(100 million yuan),,,2401.00,2350.70,2347.50,2327.10,2324.20,2303.30,2291.20,2334.10,2333.10,2332.70,2225.40,,2396.20,2351.00,2329.60,2320.90,2352.60,2291.20,2260.90,2238.00,2224.70,2256.90,2161.60,
Inventories of Manufacture of Articles for Culture Education Art Sport and Entertainment Activities Accumulated Growth Rate(%),,,1.0,1.5,0.2,1.4,1.8,2.3,2.6,0.6,-0.7,-2.5,0.1,,0.2,0.0,0.6,0.0,-1.6,0.2,0.9,3.9,4.7,3.1,3.0,
Inventories of Processing of Petroleum Coal and Other Fuels month-end(100 million yuan),,,5050.90,5084.10,5014.10,5131.30,5177.60,5213.30,5291.60,5265.60,5310.80,5340.40,5364.70,,5373.50,5356.50,5421.20,5598.20,5741.80,5794.70,6083.80,5925.70,5957.30,5813.10,5873.70,
Inventories of Processing of Petroleum Coal and Other Fuels The Same Period of Previous Year(100 million yuan),,,5531.20,5509.70,5440.10,5721.00,5875.70,5895.80,6188.10,6028.20,6048.60,5840.70,5895.80,,6037.20,6176.80,6002.00,5984.90,5809.80,5740.30,5860.70,5702.80,5792.70,5795.00,5817.50,
Inventories of Processing of Petroleum Coal and Other Fuels Accumulated Growth Rate(%),,,-8.7,-7.7,-7.8,-10.3,-11.9,-11.6,-14.5,-12.7,-12.2,-8.6,-9.0,,-11.0,-13.3,-9.7,-6.5,-1.2,0.9,3.8,3.9,2.8,0.3,1.0,
Inventories of Manufacture of Raw Chemical Materials and Chemical Products month-end(100 million yuan),,,10280.40,10341.00,10366.50,10163.10,10165.40,10109.80,10090.50,10197.30,10170.50,10218.30,10164.30,,9768.60,10038.30,9899.40,9819.30,9907.90,9952.60,9748.90,9729.40,9744.60,9875.50,9918.40,
Inventories of Manufacture of Raw Chemical Materials and Chemical Products The Same Period of Previous Year(100 million yuan),,,9751.20,10013.30,10024.90,9891.00,9944.70,9982.30,9750.90,9711.90,9733.30,9932.60,9974.40,,9736.30,9689.00,9645.20,9385.40,9282.60,9309.60,9444.50,9768.60,9934.50,9949.30,10007.70,
Inventories of Manufacture of Raw Chemical Materials and Chemical Products Accumulated Growth Rate(%),,,5.4,3.3,3.4,2.8,2.2,1.3,3.5,5.0,4.5,2.9,1.9,,0.3,3.6,2.6,4.6,6.7,6.9,3.2,-0.4,-1.9,-0.7,-0.9,
Inventories of Manufacture of Medicines month-end(100 million yuan),,,5583.40,5659.80,5660.40,5595.30,5737.80,5736.70,5597.20,5619.50,5597.10,5507.50,5534.70,,5513.60,5590.10,5526.30,5450.20,5514.00,5500.30,5409.90,5453.20,5394.20,5302.60,5349.30,
Inventories of Manufacture of Medicines The Same Period of Previous Year(100 million yuan),,,5582.90,5665.60,5609.20,5529.60,5600.40,5582.60,5482.50,5533.00,5476.70,5360.00,5401.60,,5451.00,5570.30,5521.90,5452.40,5509.00,5462.50,5380.70,5418.20,5356.30,5331.90,5489.20,
Inventories of Manufacture of Medicines Accumulated Growth Rate(%),,,0.0,-0.1,0.9,1.2,2.5,2.8,2.1,1.6,2.2,2.8,2.5,,1.1,0.4,0.1,0.0,0.1,0.7,0.5,0.6,0.7,-0.5,-2.5,
Inventories of Manufacture of Chemical Fibers month-end(100 million yuan),,,1226.00,1242.50,1278.20,1315.60,1323.50,1327.00,1319.80,1332.20,1373.80,1395.60,1374.10,,1252.60,1284.00,1299.80,1319.50,1345.70,1436.70,1396.20,1383.80,1399.80,1405.30,1386.40,
