公表日,時間,結果,予想,前回
"Apr 17, 2024",5:30,4.09M,,3.034M
"Apr 24, 2024",5:30,-3.23M,1.8M,4.09M
"May 01, 2024",5:30,4.906M,,-3.23M
"May 08, 2024",5:30,0.509M,-1.43M,4.906M
"May 15, 2024",5:30,-3.104M,-1.35M,0.509M
"May 22, 2024",5:30,2.48M,-3.1M,-3.104M
"May 30, 2024",5:30,-6.49M,-1.9M,2.48M
"Jun 05, 2024",5:30,4.052M,-1.9M,-6.49M
"Jun 12, 2024",5:30,-2.428M,-1.75M,4.052M
"Jun 19, 2024",5:30,2.264M,,-2.428M
"Jun 26, 2024",5:30,0.914M,-3M,2.264M
"Jul 03, 2024",5:30,-9.163M,-0.15M,0.914M
"Jul 10, 2024",5:30,-1.9M,-0.25M,-9.163M
"Jul 17, 2024",5:30,-4.44M,,-1.923M
"Jul 24, 2024",5:30,-3.9M,-2.47M,-4.44M
"Jul 31, 2024",5:30,-4.495M,,-3.9M
"Aug 07, 2024",5:30,0.18M,0.85M,-4.495M
"Aug 14, 2024",5:30,-5.205M,-2M,0.18M
"Aug 21, 2024",5:30,0.347M,-2.8M,-5.205M
"Aug 28, 2024",5:30,-3.4M,-3M,0.347M
"Sep 05, 2024",5:30,-7.4M,-0.9M,-3.4M
"Sep 11, 2024",5:30,-2.79M,0.7M,-7.4M
"Sep 18, 2024",5:30,1.96M,-0.1M,-2.79M
"Sep 25, 2024",5:30,-4.339M,-1.1M,1.96M
"Oct 02, 2024",5:30,-1.5M,-2.1M,-4.339M
"Oct 09, 2024",5:30,10.9M,1.95M,-1.458M
"Oct 17, 2024",5:30,-1.58M,2.3M,10.9M
"Oct 23, 2024",5:30,1.643M,0.7M,-1.58M
"Oct 30, 2024",5:30,-0.573M,2.3M,1.643M
"Nov 06, 2024",6:30,3.132M,1.8M,-0.573M
"Nov 14, 2024",6:30,-0.777M,1M,3.132M
"Nov 20, 2024",6:30,4.753M,0.8M,-0.777M
"Nov 27, 2024",6:30,-5.935M,0.25M,4.753M
"Dec 04, 2024",6:30,1.232M,-2.06M,-5.935M
"Dec 11, 2024",6:30,0.499M,-1.3M,1.232M
"Dec 18, 2024",6:30,-4.7M,-1.85M,0.499M
"Dec 25, 2024",6:30,-3.2M,,-4.7M
"Jan 01, 2025",6:30,-1.442M,-3M,-3.2M
"Jan 08, 2025",6:30,-4.022M,-0.25M,-1.442M
"Jan 15, 2025",6:30,-2.6M,-3.5M,-4.022M
"Jan 23, 2025",6:30,1M,,-2.6M
"Jan 29, 2025",6:30,2.86M,3.7M,1M
"Feb 05, 2025",6:30,5.025M,3.17M,2.86M
"Feb 12, 2025",6:30,9.043M,2.8M,5.025M
"Feb 20, 2025",6:30,3.34M,2.2M,9.043M
"Feb 26, 2025",6:30,-0.64M,2.3M,3.34M
"Mar 05, 2025",6:30,-1.455M,-0.3M,-0.64M
"Mar 12, 2025",5:30,4.247M,2.1M,-1.455M
"Mar 19, 2025",5:30,4.593M,1.17M,4.247M
"Mar 26, 2025",5:30,-4.6M,-2.5M,4.593M
"Apr 02, 2025",5:30,6.037M,,-4.6M
"Apr 09, 2025",5:30,-1.057M,,6.037M
"Apr 16, 2025",5:30,2.4M,-1.68M,-1.057M
"Apr 23, 2025",5:30,-4.565M,,2.4M
"Apr 30, 2025",5:30,3.76M,0.39M,-4.565M
"May 07, 2025",5:30,-4.49M,-2.5M,3.76M
"May 14, 2025",5:30,4.287M,-2.4M,-4.49M
"May 21, 2025",5:30,2.499M,-1.85M,4.287M
"May 29, 2025",5:30,-4.236M,1M,2.499M
"Jun 04, 2025",7:00,-3.3M,-0.9M,-4.236M
"Jun 11, 2025",5:30,-0.37M,0.7M,-3.3M
"Jun 18, 2025",5:30,-10.133M,-0.6M,-0.37M
"Jun 25, 2025",5:30,-4.277M,-0.6M,-10.133M
"Jul 02, 2025",5:30,0.68M,-2.26M,-4.277M
"Jul 09, 2025",5:30,7.1M,-2.8M,0.68M
"Jul 16, 2025",5:30,19.1M,-2M,7.1M
"Jul 23, 2025",5:30,-0.577M,,0.84M
"Jul 30, 2025",5:30,1.539M,-2.5M,-0.577M
"Aug 06, 2025",5:30,-4.2M,-1.8M,1.539M
"Aug 13, 2025",5:30,1.5M,-0.8M,-4.2M
"Aug 20, 2025",5:30,-2.4M,-1.2M,1.5M
"Aug 27, 2025",5:30,-0.974M,-1.7M,-2.4M
"Sep 04, 2025",5:30,0.622M,-3.4M,-0.974M
"Sep 10, 2025",5:30,1.25M,,0.622M
"Sep 17, 2025",5:30,-3.42M,-1.6M,1.25M
"Sep 24, 2025",5:30,-3.821M,,-3.42M
"Oct 01, 2025",5:30,-3.674M,,-3.821M
"Oct 08, 2025",5:30,2.78M,2.25M,-3.674M
"Oct 17, 2025",2:00,3.524M,0.12M,2.78M
"Oct 22, 2025",5:30,-2.98M,,3.524M
"Oct 29, 2025",5:30,-4M,-2.9M,-2.98M
"Nov 05, 2025",6:30,6.5M,-2.4M,-4M
"Nov 13, 2025",6:30,1.3M,1.7M,6.5M
"Nov 19, 2025",6:30,4.4M,,1.3M
"Nov 26, 2025",7:30,-1.9M,,4.4M
"Dec 03, 2025",7:20,-2.48M,,-1.9M
"Dec 10, 2025",6:30,-4.8M,-1.7M,-2.48M
"Dec 17, 2025",6:30,-9.3M,-2.2M,-4.8M
"Dec 24, 2025",6:30,2.4M,,-9.3M
"Dec 31, 2025",6:30,1.7M,,2.4M
"Jan 07, 2026",6:30,-2.8M,1.2M,1.7M
"Jan 14, 2026",6:30,5.27M,-2M,-2.8M
"Jan 22, 2026",6:30,3.04M,,5.27M
"Jan 28, 2026",6:30,-0.25M,1.45M,3.04M
"Feb 04, 2026",6:30,-11.1M,0.7M,-0.247M
"Feb 11, 2026",6:30,13.4M,,-11.1M
"Feb 19, 2026",6:30,-0.609M,,13.4M
"Feb 25, 2026",6:30,11.4M,1.85M,-0.609M
"Mar 04, 2026",6:30,5.6M,2.19M,11.4M
"Mar 11, 2026",5:30,-1.7M,1.4M,5.6M
